split_idx,acc,auc,best_path,exp_dir,status,fusion_gate_mean,graph_branch_weight_mean,doc_attention_entropy_mean,doc_attention_max_mean
0,0.7609755992889404,0.6695859872611464,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_0\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_0,reused,0.702338893239091,0.2976611067609089,0.6102519153983125,0.6796479059428704
1,0.7804877758026123,0.830015923566879,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_1\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_1,reused,0.937509757425727,0.06249024257427309,0.5957279759101479,0.6985030961472813
2,0.7512195110321045,0.6667993630573249,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_2\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_2,reused,0.9907379633042871,0.00926203669571295,0.8970861981801013,0.4162099252386791
3,0.785365879535675,0.7632696390658174,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_3\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_3,reused,0.5649672162242052,0.4350327837757948,0.6458918252364577,0.6623827560645777
4,0.7560975551605225,0.7423036093418258,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_4\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_4,reused,0.5266269287685069,0.47337307123149314,0.4179350986297918,0.8020200892192562
5,0.7512195110321045,0.6986464968152866,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_5\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_5,reused,0.46521486371028714,0.5347851362897129,0.5719419995098671,0.707460899323952
6,0.7756097316741943,0.7638004246284501,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_6\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_6,reused,0.9313048218808523,0.0686951781191477,0.4623552752808617,0.7713755821309438
7,0.7219512462615967,0.762871549893843,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_7\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_7,trained,0.9815163126805934,0.01848368731940665,0.6562738257752511,0.6522241223149183
8,0.6878048777580261,0.7687101910828026,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_8\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_8,trained,0.9979562544241184,0.002043745575881586,0.8287332096908463,0.5193796044442712
9,0.7707316875457764,0.7376592356687899,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_9\best_model.pt,D:\Tasks\isbi_code\experiments\brca_dual_text_readout_v2_gate001_10splits\split_9,trained,0.5899815957720687,0.41001840422793134,0.28541015663864033,0.8582289848385788
