split_idx,mode,text_dir,text_graph_feature,train_size,test_size,acc,auc,exp_dir
0,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.6878048777580261,0.7292993630573248,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\sentence_pt\split_0
0,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,section_features,534,205,0.7658536434173584,0.6304405520169851,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\hierarchy_graph\split_0
1,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7756097316741943,0.7854299363057324,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\sentence_pt\split_1
1,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,section_features,534,205,0.7170731425285339,0.6982484076433122,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\hierarchy_graph\split_1
2,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.70243901014328,0.7364649681528662,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\sentence_pt\split_2
2,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,section_features,534,205,0.6829268336296082,0.6207537154989384,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\hierarchy_graph\split_2
3,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7756097316741943,0.7339437367303608,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\sentence_pt\split_3
3,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,section_features,534,205,0.6731707453727722,0.6541932059447982,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\hierarchy_graph\split_3
4,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7463414669036865,0.7592887473460722,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\sentence_pt\split_4
4,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,section_features,534,205,0.6780487895011902,0.6571125265392781,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits\hierarchy_graph\split_4
