split_idx,mode,text_dir,text_graph_feature,train_size,test_size,acc,auc,exp_dir
0,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.6878048777580261,0.7292993630573248,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_0
0,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,node_features,534,205,0.7658536434173584,0.6804670912951167,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\hierarchy_graph\split_0
1,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7658536434173584,0.7707006369426752,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_1
1,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,node_features,534,205,0.7463414669036865,0.7752123142250531,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\hierarchy_graph\split_1
2,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7268292903900146,0.7169585987261147,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_2
2,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,node_features,534,205,0.7268292903900146,0.6901539278131635,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\hierarchy_graph\split_2
3,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.785365879535675,0.7515923566878981,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_3
3,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,node_features,534,205,0.7658536434173584,0.7125796178343948,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\hierarchy_graph\split_3
4,sentence_pt,D:\Tasks\Text_Sentence_extract_features\BRCA_text,node_features,534,205,0.7268292903900146,0.7533174097664543,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\sentence_pt\split_4
4,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\BRCA,node_features,534,205,0.7658536434173584,0.789543524416136,D:\Tasks\isbi_code\experiments\brca_text_mode_comparison_5splits_node_features\hierarchy_graph\split_4
