split_idx,sentence_acc,dual_acc,delta_acc,sentence_auc,dual_auc,delta_auc,sentence_exp_dir,dual_exp_dir,dual_status
0,0.8273381590843201,0.769784152507782,-0.057554006576538086,0.8999561211057482,0.8698990785432207,-0.030057042562527503,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_0,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_0,reused
1,0.8057553768157959,0.7841726541519165,-0.021582722663879395,0.8593681439227732,0.8698990785432207,0.010530934620447518,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_1,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_1,reused
2,0.8057553768157959,0.8273381590843201,0.02158278226852417,0.8705572619569988,0.8692408951294427,-0.0013163668275560925,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_2,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_2,reused
3,0.7913669347763062,0.7625899314880371,-0.028777003288269043,0.8791136463361123,0.8962264150943396,0.017112768758227315,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_3,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_3,trained
4,0.6978417038917542,0.7482014298439026,0.05035972595214844,0.8207547169811321,0.8464238701184731,0.025669153137340972,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_4,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_4,trained
5,0.6474820375442505,0.7482014298439026,0.1007193922996521,0.8347959631417288,0.8260201842913558,-0.00877577885037295,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_5,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_5,trained
6,0.798561155796051,0.7769784331321716,-0.021582722663879395,0.88635366388767,0.8497147871873629,-0.03663887670030708,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_6,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_6,trained
7,0.769784152507782,0.7625899314880371,-0.007194221019744873,0.8997367266344888,0.8992979376919702,-0.00043878894251858647,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_7,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_7,trained
8,0.769784152507782,0.8129496574401855,0.043165504932403564,0.842255375164546,0.8729706011408512,0.03071522597630527,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_8,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_8,trained
9,0.7625899314880371,0.7913669347763062,0.028777003288269043,0.8571741992101799,0.8703378674857394,0.013163668275559481,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_9,D:\Tasks\isbi_code\experiments\kirc_dual_text_3splits\split_9,trained
