dataset,setting,num_splits,acc_mean,acc_std,auc_mean,auc_std,graph_branch_weight_mean,doc_attention_entropy_mean,doc_attention_max_mean
KIRC,sentence_pt,3,0.8129496376,0.0124608252,0.8766271757,0.0209637511,,,
KIRC,dual_text_v1,3,0.7937649886,0.0299520547,0.8696796841,0.0003800024,,,
KIRC,gate_0.005,3,0.8057553967,0.0071942508,0.8824776949,0.0083610117,0.1417907536,0.6552505409,0.6341972686
KIRC,gate_0.01,3,0.8009592295,0.0041535854,0.8860611379,0.0076137574,0.1905552794,0.5367809738,0.7058860719
KIRC,gate_0.02,3,0.7985611558,0.0071942210,0.8723855492,0.0089987400,0.0927624941,0.6507616610,0.6442508933
BRCA,sentence_pt,3,0.7268292705,0.0390243828,0.7389861996,0.0281500936,,,
BRCA,dual_text_v1,3,0.7495934963,0.0149026710,0.7156316348,0.0529130914,,,
BRCA,gate_0.005,3,0.6601626078,0.1123364096,0.7181970984,0.0621028087,0.3114972399,0.5880254834,0.6860165448
BRCA,gate_0.01,3,0.7642276287,0.0149026710,0.7221337580,0.0934390848,0.1231377953,0.7010220298,0.5981203091
BRCA,gate_0.02,3,0.6243902445,0.2789885630,0.7402689314,0.0772448398,0.3650968489,0.6343082200,0.6594237575
