split_idx,acc,auc,best_path,exp_dir,status,fusion_gate_mean,graph_branch_weight_mean,doc_attention_entropy_mean,doc_attention_max_mean
0,0.798561155796051,0.8931548924967092,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_0\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_0,reused,0.7515002748520254,0.24849972514797458,0.31254832618369716,0.8422360480260506
1,0.798561155796051,0.887011847301448,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_1\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_1,reused,0.8958558808985374,0.10414411910146261,0.7734693067984251,0.5513537716951301
2,0.8057553768157959,0.8780166739798158,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_2\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_2,reused,0.7809780061566572,0.21902199384334275,0.524325288512625,0.7240683960614445
3,0.8201438784599304,0.9100482667836771,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_3\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_3,trained,0.7421065412408157,0.25789345875918435,0.5795592475690641,0.6939423362985789
4,0.7913669347763062,0.8503729706011409,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_4\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_4,trained,0.9931634089929594,0.006836591007040559,0.8167996514285508,0.49530466565554093
5,0.7482014298439026,0.8297498903027644,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_5\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_5,trained,0.6611580392010779,0.3388419607989222,0.39025216900142523,0.8088788711767403
6,0.7769784331321716,0.8549802544975866,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_6\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_6,trained,0.9120640373058456,0.08793596269415437,0.7649363957317041,0.5432525785278073
7,0.7913669347763062,0.9006143045195262,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_7\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_7,trained,0.967197149777584,0.03280285022241606,0.7587918276190134,0.5431030916867496
8,0.7122302055358887,0.8725318121983325,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_8\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_8,trained,0.6632725546042696,0.3367274453957304,0.3802984034722513,0.800644660381962
9,0.7266187071800232,0.8813075910487056,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_9\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_gate001_3splits\split_9,trained,0.9934906359199139,0.006509364080086029,0.8324048422978922,0.47686804895349544
