split_idx,acc,auc,best_path,exp_dir,status,fusion_gate_mean,graph_branch_weight_mean,doc_attention_entropy_mean,doc_attention_max_mean
0,0.769784152507782,0.8707766564282581,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_0\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_0,trained,0.8523979454214196,0.14760205457858044,0.6478829091820955,0.6493250083365887
1,0.7553957104682922,0.8591487494515138,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_1\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_1,trained,0.9614203585137566,0.03857964148624338,0.8627941934470996,0.439536350022117
2,0.798561155796051,0.8861342694164107,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_2\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_2,trained,0.5354736738925358,0.46452632610746425,0.5376053568821345,0.6873928272038055
3,0.798561155796051,0.8911803422553751,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_3\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_3,trained,0.6298473082858024,0.3701526917141976,0.7954553148928165,0.5089625560765644
4,0.7769784331321716,0.8374286967968408,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_4\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_4,trained,0.9869472628874745,0.013052737112525555,0.8384374757918048,0.457678132348781
5,0.7769784331321716,0.8163668275559456,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_5\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_5,trained,0.9345261823359153,0.06547381766408468,0.7898490799059684,0.5486814070948594
6,0.7769784331321716,0.8558578323826239,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_6\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_6,trained,0.8002538066759384,0.1997461933240616,0.5448185894531496,0.7043877102488236
7,0.798561155796051,0.907196138657306,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_7\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_7,trained,0.9716458655089784,0.028354134491021685,0.8077132037268607,0.49949121818268044
8,0.8201438784599304,0.8431329530495832,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_8\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_8,trained,0.8832370177876178,0.11676298221238225,0.5930823079363738,0.6862934977888203
9,0.769784152507782,0.8681439227731461,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_9\best_model.pt,D:\Tasks\isbi_code\experiments\kirc_dual_text_readout_v2_10splits\split_9,trained,0.9908962948716802,0.009103705128319829,0.8745171156650485,0.4267701087452525
