split_idx,mode,text_dir,text_graph_feature,train_size,test_size,acc,auc,exp_dir
0,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.8273381590843201,0.8999561211057482,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_0
0,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7194244861602783,0.8363317244405442,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_0
1,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.8057553768157959,0.8593681439227732,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_1
1,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.7410072088241577,0.8475208424747697,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_1
2,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.8057553768157959,0.8705572619569988,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_2
2,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.8057553768157959,0.8795524352786309,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_2
3,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.7913669347763062,0.8791136463361123,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_3
3,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.8201438784599304,0.901930671347082,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_3
4,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.6978417038917542,0.8207547169811321,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_4
4,hierarchy_graph,D:\Tasks\isbi_code\pathology_report_extraction\Output\text_hierarchy_graphs_masked\KIRC,node_features,360,139,0.6906474828720093,0.7689776217639316,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\hierarchy_graph\split_4
5,sentence_pt,D:\Tasks\Text_Sentence_extract_features\KIRC_text,node_features,360,139,0.6474820375442505,0.8347959631417288,D:\Tasks\isbi_code\experiments\kirc_text_mode_comparison_20splits_node_features\sentence_pt\split_5
